arizona 3322535 votes,     0.49 % trump,    0.495 % biden, 2020-11-09T00:48:39Z EXCLUDED, sampleTime > highCutoff
arizona 3322568 votes,     0.49 % trump,    0.495 % biden, 2020-11-09T18:02:37Z EXCLUDED, sampleTime > highCutoff
arizona 3322659 votes,     0.49 % trump,    0.495 % biden, 2020-11-09T18:08:43Z EXCLUDED, sampleTime > highCutoff
arizona 3322804 votes,     0.49 % trump,    0.495 % biden, 2020-11-09T18:17:37Z EXCLUDED, sampleTime > highCutoff
arizona 3323228 votes,     0.49 % trump,    0.495 % biden, 2020-11-09T18:32:35Z EXCLUDED, sampleTime > highCutoff
arizona 3324015 votes,     0.49 % trump,    0.495 % biden, 2020-11-09T21:05:46Z EXCLUDED, sampleTime > highCutoff
arizona 3327452 votes,     0.49 % trump,    0.494 % biden, 2020-11-09T22:22:36Z EXCLUDED, sampleTime > highCutoff
arizona 3328043 votes,     0.49 % trump,    0.494 % biden, 2020-11-09T23:54:39Z EXCLUDED, sampleTime > highCutoff
arizona 3328462 votes,     0.49 % trump,    0.494 % biden, 2020-11-10T00:29:36Z EXCLUDED, sampleTime > highCutoff
arizona 3328643 votes,     0.49 % trump,    0.494 % biden, 2020-11-10T00:45:36Z EXCLUDED, sampleTime > highCutoff
arizona 3335040 votes,     0.49 % trump,    0.494 % biden, 2020-11-10T02:01:42Z EXCLUDED, sampleTime > highCutoff
arizona 3335055 votes,     0.49 % trump,    0.494 % biden, 2020-11-10T20:11:44Z EXCLUDED, sampleTime > highCutoff
arizona 3340535 votes,     0.49 % trump,    0.495 % biden, 2020-11-10T21:39:45Z EXCLUDED, sampleTime > highCutoff
arizona 3341449 votes,     0.49 % trump,    0.494 % biden, 2020-11-10T23:18:55Z EXCLUDED, sampleTime > highCutoff
arizona 3341513 votes,     0.49 % trump,    0.494 % biden, 2020-11-11T00:03:45Z EXCLUDED, sampleTime > highCutoff
arizona 3342739 votes,     0.49 % trump,    0.494 % biden, 2020-11-11T00:37:43Z EXCLUDED, sampleTime > highCutoff
arizona 3342741 votes,     0.49 % trump,    0.494 % biden, 2020-11-11T00:48:42Z EXCLUDED, sampleTime > highCutoff
arizona 3343125 votes,     0.49 % trump,    0.494 % biden, 2020-11-11T00:57:45Z EXCLUDED, sampleTime > highCutoff
arizona 3343467 votes,     0.49 % trump,    0.494 % biden, 2020-11-11T01:46:47Z EXCLUDED, sampleTime > highCutoff
arizona 3348758 votes,     0.49 % trump,    0.494 % biden, 2020-11-11T02:01:56Z EXCLUDED, sampleTime > highCutoff
arizona 3353724 votes,     0.49 % trump,    0.494 % biden, 2020-11-11T23:10:45Z EXCLUDED, sampleTime > highCutoff
arizona 3366867 votes,    0.491 % trump,    0.494 % biden, 2020-11-12T03:16:53Z EXCLUDED, sampleTime > highCutoff
arizona 3366994 votes,    0.491 % trump,    0.494 % biden, 2020-11-12T17:25:45Z EXCLUDED, sampleTime > highCutoff
arizona   104866 votes,    0.505 % trump,     0.48 % biden, 2020-11-04T03:03:36ZOkay: 
arizona   730299 votes,    0.421 % trump,    0.566 % biden, 2020-11-04T03:05:47ZOkay: 
arizona  2203485 votes,    0.437 % trump,     0.55 % biden, 2020-11-04T03:06:25ZOkay: 
arizona  2234553 votes,    0.438 % trump,    0.549 % biden, 2020-11-04T03:08:46ZOkay: 
arizona  2304343 votes,    0.446 % trump,    0.541 % biden, 2020-11-04T03:10:54ZOkay: 
arizona  2329555 votes,    0.448 % trump,    0.539 % biden, 2020-11-04T03:13:47ZOkay: 
arizona  2331561 votes,    0.449 % trump,    0.539 % biden, 2020-11-04T03:14:48ZOkay: 
arizona  2331651 votes,    0.448 % trump,    0.539 % biden, 2020-11-04T03:16:33Z SUSPICIOUS, TRUMP VOTES NOMINALLY DECREASED: 
arizona  2332883 votes,    0.448 % trump,    0.538 % biden, 2020-11-04T03:17:55ZSUSPICIOUS, BIDEN VOTES NOMINALLY DECREASED: 
arizona  2346888 votes,    0.447 % trump,    0.539 % biden, 2020-11-04T03:18:15ZOkay: 
arizona  2383450 votes,    0.448 % trump,    0.538 % biden, 2020-11-04T03:22:32ZOkay: 
arizona  2396381 votes,     0.45 % trump,    0.537 % biden, 2020-11-04T03:24:23ZOkay: 
